ID,Nom,Sous-Segment,Pays,Ville,Site Web,Directeur / CEO,Email,Telephone,Priorite,Statut Pipeline,Owner,Programmes Cles,Pertinence Etudesk,Derniere Action,Date Derniere Action,Prochaine Action,Date Prochaine Action,Notes
H01,ZEBOX West Africa,Accelerateur,Cote d'Ivoire,Abidjan,https://www.ze-box.io/hubs/west-africa,Joseph-Olivier Biley (Hub Manager),,,P1,Prospect,Lamine,Immerse / Ignite / Accelerate - CMA CGM - logistics / supply chain,Gestion des cohortes de startups - suivi mentorat et KPIs,,,,,Fort partenariat CMA CGM - budget solide
H02,AfricaWorks Abidjan,Coworking / Hub,Cote d'Ivoire,Abidjan (Plateau + Marcory),https://www.africaworks.co/,Gregoire Schwebig (CEO global),info@abidjan.africaworks.co,+27 79 882 7447,P3,Prospect,,7 villes en Afrique - coworking - networking,Limite - pas de formation structuree,,,,,
H03,Impact Hub Abidjan,Incubateur / Coworking,Cote d'Ivoire,Abidjan (Riviera 3),https://abidjan.impacthub.net,,info@abidjan.impacthub.net,+225 07 68 84 91 90,P2,Prospect,,Incubation / acceleration / coworking - impact social,Gestion des cohortes incubation - suivi impact,,,,,Reseau mondial Impact Hub
H04,Orange Digital Center CI,Hub Digital / Accelerateur,Cote d'Ivoire,Abidjan,https://www.orangedigitalcenters.com/country/CI/home,,,,P1,Prospect,Lamine,Academy (coding) / FabLab / Orange Fab / Orange Ventures - 1200 m2 - formations IA / blockchain / robotique,Gestion des 3500+ apprenants - suivi certifications - matching startups,,,,,PROSPECT PRIORITAIRE - volume eleve - tout gratuit
H05,Orange Fab CI,Accelerateur,Cote d'Ivoire,Abidjan,https://www.orangefab.ci/,,,,P2,Prospect,,1er accelerateur Orange Fab en Afrique (2014) - coaching - mentorat - acces API Orange,Suivi des startups accelerees,,,,,Sous-entite Orange Digital Center
H06,CGECI Academy,Incubateur / Patronat,Cote d'Ivoire,Abidjan (Riviera Bonoumin),https://cgeciacademy.org/,Stephane AKA-ANGHUI (DG CGECI),,,P1,Prospect,Lamine,Forum economique - incubateur startups - Concours Tremplin Startup UEMOA,Gestion Tremplin UEMOA - suivi startups incubees - connexion patronat,,,,,PROSPECT STRATEGIQUE - lien patronat ivoirien
H07,Incub'Ivoir,Incubateur,Cote d'Ivoire,Abidjan (II Plateaux Angre),https://incubivoir.net/,Hermann Christian Kouassi,info@incubivoir.net,+225 01 41 89 64 04,P2,Prospect,,Secteur agricole - membre AfriLabs - partenaire Enabel/TDC,Gestion cohortes agritech,,,,,
H08,Seedspace Abidjan,Coworking / Hub,Cote d'Ivoire,Abidjan (Zone 4),https://www.seedspace.co/en/co-working/abidjan/,,,,P3,Prospect,,Reseau Seedstars mondial - entrepreneurs impact,Limite,,,,,
H09,Akendewa,Tech Hub,Cote d'Ivoire,Abidjan (Cocody),http://www.akendewa.org/,Jean-Patrick Ehouman,,+225 25 20 01 20 34,P2,Prospect,,1er tech hub Afrique francophone - communaute tech,Historique - soutien startups tech,,,,,Pionnier ecosysteme tech CI
H10,Ovillage,Coworking / Tiers-lieu,Cote d'Ivoire,Abidjan (Zone 4 Marcory),https://ovillage.ci/,,,,P3,Prospect,,Espace open-source - intelligence collective,Limite - gestion collaborative,,,,,
